lab,threshold,effect,group,term,estimate,std.error,df,statistic,p.value
1,0.2,fixed,fixed,a,4.83004127007908,0.0160163618153926,193,301.569190665831,5.06762138899279e-260
1,0.2,fixed,fixed,b,0.38173019015873,0.276857176156522,193,1.37879825062912,0.169552888448018
1,0.2,fixed,fixed,del.(Intercept),0.0721059995023965,0.0197429792408286,193,3.65223498555278,0.000334805175444683
1,0.2,fixed,fixed,del.relposcontra,-0.0562584383180725,0.0211558745586816,193,-2.65923482208331,0.00848971451425512
1,0.3,fixed,fixed,a,5.47900152761645,0.0155982865538832,193,351.256627366707,8.79377740362227e-273
1,0.3,fixed,fixed,b,0.309932425654777,0.217263685736368,193,1.42652659419051,0.155332038297529
1,0.3,fixed,fixed,del.(Intercept),0.0835021995024105,0.0215074262876271,193,3.88248218944021,0.000141906262782063
1,0.3,fixed,fixed,del.relposcontra,-0.0655417630645001,0.0235879058514284,193,-2.77861729130698,0.00599847147813643
1,0.4,fixed,fixed,a,5.8682999090138,0.0174259950815799,193,336.755512757884,2.96647594329306e-269
1,0.4,fixed,fixed,b,0.361472793588293,0.225767344665927,193,1.60108537451761,0.110993542265344
1,0.4,fixed,fixed,del.(Intercept),0.0929262230246729,0.0218284869399156,193,4.25710784629547,3.23009859937087e-05
1,0.4,fixed,fixed,del.relposcontra,-0.0763262523223321,0.023758069561156,193,-3.21264537616828,0.00154121600739177
1,0.5,fixed,fixed,a,6.16852637511195,0.0174899433830579,193,352.689899561782,4.01221379839745e-273
1,0.5,fixed,fixed,b,0.31751952924046,0.199393428522931,193,1.59242725095098,0.112925214054603
1,0.5,fixed,fixed,del.(Intercept),0.0942353772723078,0.0217927541345894,193,4.32416098902972,2.45211716296416e-05
1,0.5,fixed,fixed,del.relposcontra,-0.0686369633973381,0.0235247987407324,193,-2.91764295855572,0.00394539778893552
1,0.6,fixed,fixed,a,6.42103016953554,0.0195734389079967,193,328.048137055376,4.61549452369512e-267
1,0.6,fixed,fixed,b,0.331622555990813,0.203558762880372,193,1.62912444199566,0.104917791462732
1,0.6,fixed,fixed,del.(Intercept),0.0994905879970676,0.0226564180801735,193,4.39127613398568,1.85514068466114e-05
1,0.6,fixed,fixed,del.relposcontra,-0.0709786695749102,0.0242842143361827,193,-2.92283162190486,0.00388302332037407
1,0.7,fixed,fixed,a,6.6389227460801,0.0221011297894161,193,300.388387803567,1.07881731541164e-259
1,0.7,fixed,fixed,b,0.316909307612958,0.198436544036336,193,1.59703097608336,0.111894801304606
1,0.7,fixed,fixed,del.(Intercept),0.107866343643973,0.0248701706069316,193,4.33717747050394,2.32353812823525e-05
1,0.7,fixed,fixed,del.relposcontra,-0.0772546634741466,0.0267642512172499,193,-2.88648701011874,0.004339613046881
1,0.8,fixed,fixed,a,6.82221207219534,0.0250846263539698,193,271.967856962545,2.20970904000987e-251
1,0.8,fixed,fixed,b,0.310805343800387,0.197116124110497,193,1.57676265806728,0.116487828620464
1,0.8,fixed,fixed,del.(Intercept),0.118324300226546,0.0275512861424307,193,4.29469243703724,2.76889274211004e-05
1,0.8,fixed,fixed,del.relposcontra,-0.0882001418693728,0.0298921816433633,193,-2.95060905629666,0.00356419003883535
1,0.9,fixed,fixed,a,6.9630409823907,0.0283420490674957,193,245.678813335212,6.93111357985456e-243
1,0.9,fixed,fixed,b,0.284837136630934,0.19453004782753,193,1.4642320804006,0.144757461344435
1,0.9,fixed,fixed,del.(Intercept),0.12699255297202,0.0314918345387967,193,4.03255494104574,7.94005843773945e-05
1,0.9,fixed,fixed,del.relposcontra,-0.0999772017914503,0.0347030009743432,193,-2.88093821814909,0.00441348617995412
1,1,fixed,fixed,a,7.03008357061363,0.0311720216197373,193,225.525429706567,9.77753495495967e-236
1,1,fixed,fixed,b,0.248529838129854,0.20536709760023,193,1.21017359174859,0.227692352098547
1,1,fixed,fixed,del.(Intercept),0.12580665478533,0.0378610226810331,193,3.32285410896613,0.001065910659864
1,1,fixed,fixed,del.relposcontra,-0.112420755892183,0.0432462485139314,193,-2.59954931942749,0.0100562422106237
2,0.8,fixed,fixed,a,6.61338059422212,0.0291480683993222,193,226.889154492855,3.06762604046923e-236
2,0.8,fixed,fixed,b,0.429333851858694,0.27658296278466,193,1.55227873595729,0.122233794252636
2,0.8,fixed,fixed,del.(Intercept),0.107961358558971,0.0265865738323968,193,4.0607473245543,7.10642773116658e-05
2,0.8,fixed,fixed,del.relposcontra,-0.0727346890400518,0.0274501853358058,193,-2.64969755760364,0.00872426264983404
2,0.9,fixed,fixed,a,6.76820220648694,0.0307727924936022,193,219.941112198189,1.21261101148765e-233
2,0.9,fixed,fixed,b,0.375202145021004,0.239427905227645,193,1.56707775839356,0.118734616297819
2,0.9,fixed,fixed,del.(Intercept),0.116968133713578,0.0281695561716343,193,4.15228883979937,4.93752106802123e-05
2,0.9,fixed,fixed,del.relposcontra,-0.084753421880582,0.0298598982923314,193,-2.83836940939441,0.00501955320803983
2,1,fixed,fixed,a,6.9279363812024,0.0364910804360879,193,189.852870849804,2.27879840432508e-221
2,1,fixed,fixed,b,0.381280464350202,0.258443517547474,193,1.47529513592913,0.141762705873075
2,1,fixed,fixed,del.(Intercept),0.133194059640458,0.0341479656273115,193,3.9004976487949,0.000132467426975982
2,1,fixed,fixed,del.relposcontra,-0.108872964624946,0.0368444826611429,193,-2.95493264558079,0.00351677967966666
3,0.7,fixed,fixed,a,0.0948093862300092,0.00150199578754893,193,63.1222717240282,8.07970091655778e-131
3,0.7,fixed,fixed,b,0.23111886309006,0.329230313479855,193,0.701997518537132,0.483526420245049
